Name,VMName,NetworkPath,Zone,NewPriIP,NewPriSNM,NewPriGW,ChangeBU,CurBUIP,NewBUIP,NewBUSNM,ChangeTSM,NewTSMDrive,NewTargetTSMDC,NewTSMServer,NewTSMTCPPort,ReCFGDate,ReCFGTime
wvdvip6sdb03,wvdvip6sdb03,192.168.95.162,Intranet,10.86.13.52,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvip6vals01,wvip6vals01,192.168.95.210,Intranet,10.86.13.53,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
VM-DEVADDNS02,VM-DEVADDNS02,192.168.95.10,Intranet,10.86.13.75,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
VM-DEVADDNS03,VM-DEVADDNS03,192.168.95.12,Intranet,10.86.13.65,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7iprora01,bosd7iprora01,192.168.95.163,Intranet,10.86.13.80,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
bosd7hcpcog01,bosd7hcpcog01,192.168.95.58,Intranet,10.86.13.89,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wvicpovat,wvicpovat,192.168.95.172,Intranet,10.86.13.87,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed2051,apsed2051,192.168.95.71,Intranet,10.86.13.16,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed2052,apsed2052,192.168.95.74,Intranet,10.86.13.84,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
apsed2050,apsed2050,192.168.95.59,Intranet,10.86.12.180,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
WVDVIIRSWEB01,WVDVIIRSWEB01,192.168.95.99,Intranet,10.86.13.88,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
wppfiipes01,wppfiipes01,192.168.95.103,Intranet,10.86.13.207,255.255.254.0,10.86.12.1,No,,,,No,,,,,,
